"filename", "language", "JavaScript", "JSON", "JavaScript JSX", "PostCSS", "Markdown", "Shell Script", "HTML", "comment", "blank", "total"
"c:\Users\ganes\OneDrive\Desktop\Unique Fitness\Project\frontend\admin\.codelineignore", "Shell Script", 0, 0, 0, 0, 0, 4, 0, 0, 0, 4
"c:\Users\ganes\OneDrive\Desktop\Unique Fitness\Project\frontend\admin\ADMIN_PANEL_README.md", "Markdown", 0, 0, 0, 0, 127, 0, 0, 0, 36, 163
"c:\Users\ganes\OneDrive\Desktop\Unique Fitness\Project\frontend\admin\README.md", "Markdown", 0, 0, 0, 0, 7, 0, 0, 0, 6, 13
"c:\Users\ganes\OneDrive\Desktop\Unique Fitness\Project\frontend\admin\eslint.config.js", "JavaScript", 28, 0, 0, 0, 0, 0, 0, 0, 2, 30
"c:\Users\ganes\OneDrive\Desktop\Unique Fitness\Project\frontend\admin\index.html", "HTML", 0, 0, 0, 0, 0, 0, 13, 0, 1, 14
"c:\Users\ganes\OneDrive\Desktop\Unique Fitness\Project\frontend\admin\package-lock.json", "JSON", 0, 3920, 0, 0, 0, 0, 0, 0, 1, 3921
"c:\Users\ganes\OneDrive\Desktop\Unique Fitness\Project\frontend\admin\package.json", "JSON", 0, 33, 0, 0, 0, 0, 0, 0, 1, 34
"c:\Users\ganes\OneDrive\Desktop\Unique Fitness\Project\frontend\admin\postcss.config.js", "JavaScript", 6, 0, 0, 0, 0, 0, 0, 0, 0, 6
"c:\Users\ganes\OneDrive\Desktop\Unique Fitness\Project\frontend\admin\src\App.css", "PostCSS", 0, 0, 0, 37, 0, 0, 0, 0, 6, 43
"c:\Users\ganes\OneDrive\Desktop\Unique Fitness\Project\frontend\admin\src\App.jsx", "JavaScript JSX", 0, 0, 105, 0, 0, 0, 0, 5, 16, 126
"c:\Users\ganes\OneDrive\Desktop\Unique Fitness\Project\frontend\admin\src\api.js", "JavaScript", 22, 0, 0, 0, 0, 0, 0, 5, 10, 37
"c:\Users\ganes\OneDrive\Desktop\Unique Fitness\Project\frontend\admin\src\components\Layout.jsx", "JavaScript JSX", 0, 0, 34, 0, 0, 0, 0, 5, 6, 45
"c:\Users\ganes\OneDrive\Desktop\Unique Fitness\Project\frontend\admin\src\components\MemberModal.jsx", "JavaScript JSX", 0, 0, 441, 0, 0, 0, 0, 10, 29, 480
"c:\Users\ganes\OneDrive\Desktop\Unique Fitness\Project\frontend\admin\src\components\Sidebar.jsx", "JavaScript JSX", 0, 0, 141, 0, 0, 0, 0, 2, 7, 150
"c:\Users\ganes\OneDrive\Desktop\Unique Fitness\Project\frontend\admin\src\index.css", "PostCSS", 0, 0, 0, 56, 0, 0, 0, 4, 15, 75
"c:\Users\ganes\OneDrive\Desktop\Unique Fitness\Project\frontend\admin\src\main.jsx", "JavaScript JSX", 0, 0, 9, 0, 0, 0, 0, 0, 2, 11
"c:\Users\ganes\OneDrive\Desktop\Unique Fitness\Project\frontend\admin\src\pages\Announcements.jsx", "JavaScript JSX", 0, 0, 265, 0, 0, 0, 0, 10, 25, 300
"c:\Users\ganes\OneDrive\Desktop\Unique Fitness\Project\frontend\admin\src\pages\ChangePassword.jsx", "JavaScript JSX", 0, 0, 177, 0, 0, 0, 0, 11, 19, 207
"c:\Users\ganes\OneDrive\Desktop\Unique Fitness\Project\frontend\admin\src\pages\CreateDietPlan.jsx", "JavaScript JSX", 0, 0, 140, 0, 0, 0, 0, 3, 10, 153
"c:\Users\ganes\OneDrive\Desktop\Unique Fitness\Project\frontend\admin\src\pages\Dashboard.jsx", "JavaScript JSX", 0, 0, 196, 0, 0, 0, 0, 8, 17, 221
"c:\Users\ganes\OneDrive\Desktop\Unique Fitness\Project\frontend\admin\src\pages\DietPlans.jsx", "JavaScript JSX", 0, 0, 113, 0, 0, 0, 0, 3, 8, 124
"c:\Users\ganes\OneDrive\Desktop\Unique Fitness\Project\frontend\admin\src\pages\Login.jsx", "JavaScript JSX", 0, 0, 313, 0, 0, 0, 0, 21, 31, 365
"c:\Users\ganes\OneDrive\Desktop\Unique Fitness\Project\frontend\admin\src\pages\MemberDetails.jsx", "JavaScript JSX", 0, 0, 702, 0, 0, 0, 0, 15, 51, 768
"c:\Users\ganes\OneDrive\Desktop\Unique Fitness\Project\frontend\admin\src\pages\Members.jsx", "JavaScript JSX", 0, 0, 267, 0, 0, 0, 0, 12, 17, 296
"c:\Users\ganes\OneDrive\Desktop\Unique Fitness\Project\frontend\admin\src\pages\Plans.jsx", "JavaScript JSX", 0, 0, 358, 0, 0, 0, 0, 13, 31, 402
"c:\Users\ganes\OneDrive\Desktop\Unique Fitness\Project\frontend\admin\src\pages\Workout.jsx", "JavaScript JSX", 0, 0, 136, 0, 0, 0, 0, 4, 11, 151
"c:\Users\ganes\OneDrive\Desktop\Unique Fitness\Project\frontend\admin\tailwind.config.js", "JavaScript", 46, 0, 0, 0, 0, 0, 0, 3, 1, 50
"c:\Users\ganes\OneDrive\Desktop\Unique Fitness\Project\frontend\admin\vite.config.js", "JavaScript", 5, 0, 0, 0, 0, 0, 0, 1, 2, 8
"Total", "-", 107, 3953, 3397, 93, 134, 4, 13, 135, 361, 8197